method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cobrand,58841,55919,53992,44776,45701,52685,52108,52059,55540,42034,43321,39748
FixMyStreet.com,126795,122908,121039,90324,83387,95488,97095,92173,90271,76430,79816,77554
Mobile,38721,39806,41626,34172,34425,37850,38215,36512,37299,67555,69427,67920
