method,1,2,3,4,5,6,7,8,9,10
Desktop,1380,1906,2574,2725,3870,4200,4646,6218,7754,11727
Mobile,30951,36210,42814,44676,44188,47757,43589,45816,45549,60548
Open311,420,939,1250,1187,1555,1949,1764,2237,1603,1051
Unclear,79727,96778,110439,126807,136575,150294,162697,189971,228059,354178
