method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cobrand,3983,1756,928,680,625,1299,4472,13680,29675,49805,52611,53750,49143,46837,48715,46982,42721,31234,25387,23714,22928,20286,16301,9212
FixMyStreet.com,14403,6547,3402,2184,1859,3058,9104,25674,54977,80211,85011,85019,81423,80204,79738,79407,78360,69118,63618,61295,59799,54563,45650,28656
Mobile,4792,2384,1323,972,959,2133,6921,20020,34521,40418,40341,40628,38954,37684,37753,37409,34842,32355,30311,26798,23854,20909,17211,10036
