status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3043,3310,3507,3490,3329,3448,3093,3688,3960,4248
Reported Fixed,1329,1385,1668,1516,1623,2261,1523,2061,2257,2510
