cobrand_reduced,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cobrand,4286,1895,1041,744,683,1418,4750,14545,31654,53331,56429,57732,53019,50388,52470,50520,45941,33498,27154,25503,24399,21582,17338,9773
FixMyStreet.com,18892,8792,4612,3092,2760,5072,15747,44829,87519,117103,121534,121665,116501,114337,113736,113278,109982,99209,92162,86304,82182,74176,61824,38131
