status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,90880,106749,113524,132772,136621,149844,160647,171049,167316,165482
Reported Fixed,46251,78903,79081,88615,90239,95079,98998,104391,110590,106175
