status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,6481,5565,5050,6187,6119,6804,6752,7120,7795,8738
Reported Fixed,2424,2451,2283,3073,2944,3521,3529,3914,3847,4396
