year,1,2,3,4,5,6,7,8,9,10
2007,16.0,22.0,35.0,22.0,24.0,24.0,15.0,13.0,37.0,34.0
2008,34.0,65.0,67.0,44.0,68.0,75.0,49.0,67.0,68.0,62.0
2009,97.0,121.0,116.0,114.0,123.0,129.0,131.0,135.0,150.0,134.0
2010,158.0,149.0,133.0,165.0,175.0,147.0,210.0,190.0,237.0,265.0
2011,135.0,185.0,178.0,188.0,180.0,184.0,180.0,247.0,243.0,294.0
2012,169.0,166.0,246.0,255.0,184.0,205.0,211.0,242.0,276.0,330.0
2013,183.0,138.0,190.0,199.0,176.0,251.0,204.0,242.0,241.0,262.0
2014,360.0,323.0,374.0,333.0,317.0,379.0,312.0,340.0,445.0,529.0
2015,346.0,336.0,385.0,303.0,304.0,358.0,334.0,368.0,428.0,546.0
2016,451.0,378.0,558.0,530.0,448.0,424.0,543.0,515.0,518.0,586.0
2017,534.0,456.0,566.0,542.0,552.0,520.0,460.0,509.0,545.0,651.0
2018,547.0,830.0,924.0,670.0,699.0,683.0,723.0,800.0,903.0,874.0
2019,753.0,851.0,1008.0,724.0,788.0,775.0,730.0,826.0,851.0,949.0
2020,789.0,1050.0,1103.0,832.0,783.0,852.0,886.0,1003.0,1033.0,1000.0
