method,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Desktop,9042,8540,8450,7574,6210,3994,4864
Mobile,75172,74394,71298,68704,62639,61956,66719
Open311,2856,2615,2542,2321,2061,721,856
Unclear,305066,299545,290191,277585,243585,153719,180313
