method,1,2,3,4,5,6,7,8,9,10
Cobrand,9627,32533,35860,52981,52051,62979,77574,84100,93781,95234
FixMyStreet.com,82423,97216,107494,118713,117256,122276,132321,125089,126431,122185
Mobile,45572,58040,57403,64225,58380,57348,51402,52981,49853,47565
