year,1,2,3,4,5,6,7,8,9,10
2007,965,1170,1067,1108,953,863,778,711,655,647
2008,1964,2258,1971,2134,1737,1886,1677,1529,1416,1296
2009,4098,4064,4012,3979,3673,3616,3430,3029,2914,2793
2010,6104,5981,5869,5550,5380,4856,4612,4179,3898,3692
2011,5974,6501,6251,5752,5506,5423,5260,4671,4197,4100
2012,8249,8832,8792,7566,7027,6420,5929,5233,4744,4386
2013,13424,13458,12726,10797,10130,9126,8031,6966,6568,6037
2014,16990,18828,17593,15167,13887,12120,9702,8790,7919,6910
2015,23081,23694,20048,16800,15461,13359,11846,9909,8968,8063
2016,29716,30368,25630,21155,18162,15766,13099,11990,11127,9671
2017,30182,31523,26537,22595,19517,16428,13612,12735,11565,9799
2018,48637,43893,38078,33576,27944,23739,21375,20519,19645,15043
2019,63000,58097,50917,45330,35750,30451,26447,22783,22464,17080
2020,87472,72855,65224,56862,44576,39154,35953,30280,28928,21604
