method,1,2,3,4,5,6,7,8,9,10
Desktop,2026,2382,3165,3817,4233,4822,5785,6106,7722,6942
Mobile,33012,34801,35947,40196,44029,48932,53771,53431,51516,46463
Open311,707,1212,1588,1544,1029,995,1714,1640,1939,1587
Unclear,87982,112705,131030,145287,145930,157750,186849,205150,242085,220757
