cobrand_reduced,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Cobrand,117413,113567,110925,104809,90936,47115,55328
FixMyStreet.com,274723,271527,261556,251375,223559,173275,197424
