status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,171641,158276,147302,129598,116525,112797,117214,120616,112929,104557
Reported Fixed,117816,124277,117741,89953,69477,62513,66965,67528,66461,64392
