method,A1,B1,C1,C2,D1,D2,E1,E2
Cobrand,206305,18,243738,270,55621,213,88822,1030
FixMyStreet.com,332401,33470,454077,2570,103307,2859,138185,8197
Mobile,228207,17547,187778,596,35423,826,48136,2297
