status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,5521,3832,2957,2922,2798,2808,3224,3554,3565,3981
Reported Fixed,2325,2027,1315,1703,1550,1676,1598,1930,2015,2005
