method,1,2,3,4,5,6,7,8,9,10
Cobrand,16.0,26.0,39.0,105.0,90.0,76.0,87.0,161.0,84.0,19.0
FixMyStreet.com,5025.0,6715.0,6641.0,7506.0,7083.0,7703.0,8304.0,8550.0,8701.0,10094.0
Mobile,1288.0,1959.0,1661.0,2143.0,1967.0,2054.0,2644.0,2548.0,2569.0,3126.0
