method,1,2,3,4,5,6,7,8,9,10
Desktop,1619,2327,3376,3994,4369,4623,5194,5758,7098,8642
Mobile,34194,41189,46296,48791,48120,45346,42501,42341,42025,51295
Open311,556,1062,1494,1617,1148,1528,1520,1949,1491,1590
Unclear,80387,108425,136329,148884,158100,160938,172529,186138,222710,261085
