status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,5713,5661,5491,6758,6772,7117,8145,7393,6581,6977
Reported Fixed,1992,2698,2434,3115,3173,3435,4067,3673,3817,3972
