cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,12.0,3.0,44.0,37.0,64.0,141.0,151.0,114.0,87.0,50.0
FixMyStreet.com,8893.0,8013.0,7289.0,9223.0,8999.0,10184.0,10130.0,10920.0,11555.0,13084.0
