year,A1,B1,C1,C2,D1,D2,E1,E2
2007,3446,448,4043,14,570,37,563,38
2008,5759,1431,8412,25,1263,55,1438,84
2009,12063,1904,16767,101,2756,100,3007,163
2010,16670,1850,23452,158,4332,211,4982,302
2011,18653,2119,24510,109,4386,227,5288,362
2012,26088,2381,28537,166,5156,193,6498,445
2013,37146,2966,38983,155,7587,261,11592,665
2014,50176,3413,52565,234,10146,238,14216,631
2015,58079,4569,60962,259,12587,214,17694,586
2016,77187,4613,73721,318,14170,293,20574,771
2017,74323,4433,81909,277,15238,253,22491,913
2018,85751,5938,127104,308,30910,516,48150,1429
2019,127243,5982,155024,634,38110,627,50491,2465
2020,174329,8988,189604,678,47140,673,68159,2670
