status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,131124,139488,117594,118337,114640,123624,126930,133231,173734,216182
Reported Fixed,94300,111480,83499,88313,71231,77488,74074,75381,92348,130208
