status,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Not Reported Fixed,14431,6863,3703,2509,2354,4143,12179,34154,68745,100421,106316,108167,103665,100110,100927,100181,95949,82307,74220,69271,66211,59767,49170,29385
Reported Fixed,8747,3824,1950,1327,1089,2347,8318,25220,50428,70013,71647,71230,65855,64615,65279,63617,59974,50400,45096,42536,40370,35991,29992,18519
