year,1,2,3,4,5,6,7,8,9,10
2007,1865,943,825,847,806,869,660,630,678,794
2008,2711,1778,1674,1832,1642,2157,1668,1469,1455,1482
2009,4949,3834,3767,3691,3550,3457,3100,3061,3067,3132
2010,5970,5913,5628,5217,4625,4814,4493,4358,4376,4727
2011,6148,6296,6151,5875,5462,5133,4736,4660,4506,4668
2012,8752,9075,8364,7433,6026,5733,5370,5566,5486,5373
2013,10526,14067,14247,11236,8664,7804,7722,7799,7529,7669
2014,12746,19596,19446,15693,11434,10587,10366,9880,9375,8783
2015,17399,20574,20880,18829,15135,14522,13056,12038,10406,8390
2016,27159,27422,24948,21121,17460,15958,15251,14101,12225,11039
2017,26499,27546,26420,21899,17615,16161,16869,16128,13401,11955
2018,30739,35713,35363,28173,25495,24441,28865,30577,28051,25032
2019,55005,48455,43375,34146,30050,27452,31172,33587,34946,34131
2020,78989,61341,53955,43559,38038,36222,40851,44290,43889,41774
