status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3259,3440,4086,3206,3049,3424,3316,3459,3733,4144
Reported Fixed,1313,1630,1797,1715,1772,1582,1672,2038,2242,2372
