status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,80234,94268,104181,111558,117296,124910,147038,159196,184340,168434
Reported Fixed,43493,56832,67549,79286,77925,87589,101081,107131,118922,107315
