repeat_use,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
First Report,61463,58164,57213,45432,43416,51039,50809,48001,48939,50350,50890,46487
Reported Before,162894,160469,159444,123840,120097,134984,136609,132743,134171,135669,141674,138735
