method,1,2,3,4,5,6,7,8,9,10
Desktop,23.0,57.0,72.0,58.0,83.0,38.0,104.0,107.0,101.0,67.0
Mobile,2374.0,2235.0,1782.0,1590.0,1507.0,1421.0,1401.0,1361.0,2039.0,1337.0
Unclear,2764.0,3019.0,3623.0,3243.0,3514.0,3150.0,4041.0,4041.0,4351.0,3807.0
