status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,73894,87409,102206,108079,114202,131172,139053,163598,180561,191281
Reported Fixed,38300,54934,71581,70811,77076,87832,92572,114350,120601,119066
