status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,116797,123407,128592,120330,133998,126254,127491,133534,133421,147631
Reported Fixed,72247,93034,93383,86851,87374,80771,78315,77190,79289,98669
