repeat_use,1,2,3,4,5,6,7,8,9,10
First Report,2303.0,1669.0,1859.0,1410.0,1489.0,1850.0,1845.0,1388.0,1346.0,1175.0
Reported Before,8401.0,4079.0,3945.0,2882.0,3126.0,3377.0,3742.0,2434.0,2479.0,2514.0
