answered_survey,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,4559,10422,27636,42303,48982,60719,88774,119439,144633,178555,186034,288264,367845,474644
Yes,5379,12062,13395,15235,14721,15372,17252,18470,17251,21904,22754,24507,22880,29541
