method,1,2,3,4,5,6,7,8,9,10
Desktop,2331,2962,3251,3948,4821,4430,6090,5860,6794,6513
Mobile,32674,35926,38069,46746,50366,48446,54176,46502,44841,44352
Open311,987,1689,1446,1371,1180,1016,1452,1618,1879,1317
Unclear,102490,129662,135784,147294,160707,157175,194785,185171,207120,215337
