status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,88169,105744,108071,120477,127084,122658,154087,147230,160128,157807
Reported Fixed,50313,64495,70479,78882,89990,88409,102416,91921,100506,109712
