status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,4623,6045,5635,6549,6199,6846,7560,7415,7350,8386
Reported Fixed,1706,2655,2706,3205,2941,2987,3475,3844,4004,4853
