method,1,2,3,4,5,6,7,8,9,10
Desktop,39.0,81.0,47.0,50.0,65.0,88.0,116.0,81.0,66.0,77.0
Mobile,3248.0,2574.0,1779.0,1654.0,1568.0,1767.0,1196.0,1208.0,1027.0,1022.0
Unclear,3567.0,3812.0,2830.0,3615.0,3758.0,4165.0,3805.0,3130.0,3417.0,3449.0
