year,1,2,3,4,5,6,7,8,9,10
2007,732,775,1142,989,937,937,891,816,811,887
2008,1578,1587,1994,1807,1812,1935,1821,1761,1763,1810
2009,3155,3076,3562,3618,3910,3655,3650,3473,3663,3846
2010,3617,4009,4393,4828,5590,5451,5412,5204,5469,6148
2011,4279,4598,4962,5258,5637,5621,5682,5561,5821,6216
2012,4644,5404,6119,6517,7265,7139,7182,7501,7686,7721
2013,5848,6803,8006,9330,10284,10379,10800,11213,12294,12306
2014,7461,9374,10847,12623,13762,12873,13911,14767,15730,16558
2015,9210,12657,14439,15927,16146,15010,15759,16737,17843,17501
2016,11961,17758,19160,21070,19659,18102,17850,19569,20939,20616
2017,12547,17307,18771,21359,20076,18202,18509,20973,22724,24025
2018,15440,20686,23619,27768,27653,27274,30971,35382,41008,42648
2019,20526,29255,34494,40738,38352,37413,39392,41452,43623,47074
2020,25531,37777,44929,51548,48924,48688,52102,54338,56487,62584
