year,Female,Male
2007,2001,6432
2008,4491,14485
2009,8729,26355
2010,11934,36840
2011,12778,41027
2012,15805,48538
2013,23585,66479
2014,32800,84501
2015,41101,96985
2016,51026,114618
2017,56083,119091
2018,85974,164618
2019,101822,188520
2020,127419,240656
