year,Desktop,Mobile,Open311,Unclear
2007,,,,9938.0
2008,,37.0,,22447.0
2009,,697.0,,40334.0
2010,,1489.0,,56049.0
2011,,2055.0,,61648.0
2012,,3414.0,,72677.0
2013,,1686.0,,104340.0
2014,,15567.0,,122342.0
2015,,29699.0,,132185.0
2016,,49102.0,,151357.0
2017,,57103.0,,151685.0
2018,,77373.0,,235398.0
2019,,90858.0,3.0,299864.0
2020,48674.0,151802.0,13969.0,289740.0
