year,1,2,3,4,5,6,7,8,9,10
2007,1178,1144,1290,996,800,717,772,789,653,578
2008,2150,2317,2250,1891,1560,1590,1763,1538,1579,1230
2009,4738,4284,4090,3678,3340,3384,3346,3002,3041,2705
2010,6191,5816,5672,5350,4989,4913,4970,4260,4062,3898
2011,6523,6124,6093,5972,5391,5091,5226,4820,4481,3914
2012,7788,7537,8277,7724,7277,6876,6676,5429,5181,4413
2013,10584,9486,11498,11026,11080,10895,10669,8761,7598,5666
2014,13003,11818,15108,14312,15241,14478,14338,11798,9829,7981
2015,15788,15214,18612,17441,16346,16556,16838,13858,12341,8235
2016,20454,22043,22468,22748,19782,19374,19361,15579,14059,10816
2017,21902,22021,23541,22025,20357,20404,19750,17737,16045,10711
2018,30647,30747,32208,31787,30070,30054,29357,28305,28400,20874
2019,39271,43504,46739,41417,37257,35204,35508,32510,32221,28688
2020,54450,57696,63234,55209,48915,44424,44731,40304,39473,34472
