status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,74543,86347,95774,98724,108362,122613,126132,149165,171072,258723
Reported Fixed,37935,49486,61303,76671,77826,81587,86564,95077,111893,168781
