status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,5646,5202,5256,6712,6096,6783,8401,8124,6914,7482
Reported Fixed,2102,2380,2358,3186,3187,3247,3998,4204,3671,4051
