status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,76636,91920,105711,118888,123324,129556,134084,145537,165976,199823
Reported Fixed,40120,61083,81784,84398,88413,82879,87660,90649,107348,122789
