year,1,2,3,4,5,6,7,8,9,10
2007,831,917,942,1196,1011,1014,1105,966,951,1003
2008,1977,2019,2086,2312,2191,2333,2599,2181,2347,2431
2009,3670,3651,3722,4148,4202,4339,4599,4242,4287,4164
2010,4374,4654,4742,5607,5769,6167,6691,6227,6601,6699
2011,5484,5602,5243,6171,6072,6630,7075,7107,7356,6953
2012,5717,6198,6505,7075,7585,7797,9009,9103,8736,8350
2013,6564,7767,8096,9254,10549,11337,13275,13264,13432,12473
2014,7801,11086,10451,12104,13782,14086,16753,17146,18089,16600
2015,9467,13910,13622,15660,16300,16962,18811,20283,19500,17355
2016,12169,19279,18575,20092,20679,21609,21668,22429,22861,21074
2017,13284,19040,18504,20388,20640,22026,22783,23058,24968,24070
2018,16670,23095,22826,26743,27133,34056,35858,38438,43515,44344
2019,22139,30557,33671,39451,38538,41950,42899,47220,46866,47397
2020,26984,37877,43620,51186,52409,54617,56520,63776,58397,58744
