status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,173924,178702,136789,111379,111206,117770,118654,121233,125940,95858
Reported Fixed,152646,133472,101859,72386,61642,61759,63931,68583,76876,53969
