answered_survey,1,2,3,4,5,6,7,8,9,10
No,9401.0,4741.0,4732.0,3462.0,3761.0,4118.0,4498.0,3028.0,3063.0,2993.0
Yes,1303.0,1007.0,1072.0,830.0,854.0,1109.0,1089.0,794.0,762.0,696.0
