status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,91091,108307,118040,138927,139415,149923,160677,163295,162169,161395
Reported Fixed,46531,79482,82717,96992,88272,92680,100620,98875,107896,103589
