method,1,2,3,4,5,6,7,8,9,10
Desktop,6058,5272,5406,4594,3801,3427,3978,4659,4696,5109
Mobile,105282,72306,49836,39760,32333,30027,30751,29042,27141,25620
Open311,354,366,914,861,1216,1596,2033,2731,2458,1426
Unclear,177763,204609,208887,174336,148652,140260,147417,151712,145095,136794
