year,1,2,3,4,5,6,7,8,9,10
2007,760,847,954,1164,918,1000,875,808,775,816
2008,1646,1688,1911,1941,1794,2083,1842,1644,1711,1608
2009,3236,3262,3561,3748,3715,3969,3793,3402,3617,3305
2010,3810,4090,4532,5088,5295,5650,5684,5126,5395,5451
2011,4625,4791,4843,5600,5374,5786,5848,5606,5798,5364
2012,4962,5545,6126,6745,6858,7197,8097,7394,7556,6698
2013,5866,7117,7921,9321,10117,10928,12280,11066,12326,10321
2014,6957,10352,10140,12268,13287,13605,15932,14792,16387,14186
2015,8589,13241,13636,15622,15919,16395,18343,17217,17498,14769
2016,11062,18533,18497,20655,19671,20387,20643,18901,20467,17868
2017,12047,18057,18291,21188,19564,20375,22131,19690,22408,20742
2018,14880,21683,22602,27447,26527,32425,34554,33688,39345,39298
2019,20380,29037,34795,41020,37066,42110,40417,42054,42666,42774
2020,24998,36135,45663,52416,51077,55558,54499,56073,53375,53114
