SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3192.0,6878.0,7401.0,8940.0,8061.0,7294.0,6834.0,6166.0,7107.0,5580.0
Bin Replacement,54.0,147.0,245.0,280.0,149.0,151.0,145.0,139.0,98.0,98.0
Bridge/Culvert Defects,86.0,116.0,164.0,307.0,237.0,403.0,424.0,451.0,379.0,348.0
Bus Stops Damage,453.0,642.0,604.0,730.0,534.0,512.0,542.0,462.0,470.0,556.0
Dangerous Building/Structure,13.0,89.0,109.0,107.0,73.0,99.0,79.0,54.0,56.0,44.0
Dog Fouling,2060.0,2649.0,2928.0,3343.0,3060.0,2893.0,2632.0,2227.0,2057.0,1735.0
Drainage,1797.0,3199.0,3961.0,5679.0,5285.0,8044.0,9695.0,10071.0,10814.0,10390.0
Environmental Health,56.0,524.0,581.0,895.0,977.0,735.0,897.0,761.0,1111.0,714.0
Fences,6.0,27.0,41.0,48.0,52.0,54.0,65.0,53.0,59.0,54.0
Floral Displays,,10.0,8.0,19.0,11.0,12.0,18.0,28.0,34.0,29.0
Gritting,58.0,73.0,89.0,146.0,132.0,173.0,194.0,208.0,197.0,258.0
Grounds Maintenance,183.0,330.0,356.0,546.0,449.0,551.0,680.0,655.0,529.0,408.0
Highways Enquiries,8727.0,10407.0,11638.0,12783.0,14110.0,15951.0,16772.0,15402.0,16741.0,15978.0
Incivilities,3127.0,6336.0,6386.0,7699.0,6219.0,5652.0,5522.0,5008.0,4610.0,3641.0
Open Spaces/Parks,2202.0,3571.0,3369.0,3468.0,2708.0,2637.0,3238.0,2722.0,3220.0,2759.0
Other,9987.0,11091.0,11965.0,12349.0,12424.0,13425.0,13556.0,12311.0,11918.0,11505.0
Overgrown/Fallen Veg/Trees,2631.0,5136.0,6195.0,7906.0,8315.0,10383.0,12985.0,13815.0,15892.0,16991.0
Parking,4288.0,5603.0,5553.0,5716.0,5557.0,5023.0,4888.0,4927.0,4612.0,4436.0
Pavement /Footway Defects,7375.0,9158.0,9189.0,10849.0,10950.0,11561.0,13444.0,12929.0,14912.0,15863.0
Property Damage,15.0,8.0,17.0,15.0,31.0,34.0,42.0,40.0,64.0,58.0
Public Toilets,66.0,87.0,89.0,105.0,107.0,110.0,153.0,96.0,88.0,75.0
Retaining Wall,29.0,39.0,32.0,34.0,24.0,16.0,37.0,21.0,37.0,8.0
Right of Way,1770.0,2856.0,3882.0,5133.0,5048.0,5547.0,6243.0,5930.0,5647.0,4309.0
Road Safety,4197.0,5820.0,6946.0,8497.0,8477.0,10566.0,11017.0,11383.0,11661.0,11122.0
Road Surface Defects,16231.0,21793.0,28744.0,37477.0,43430.0,58360.0,66887.0,68416.0,75453.0,72751.0
Rubbish,42955.0,60546.0,65017.0,68663.0,57666.0,54678.0,41560.0,35260.0,31110.0,23940.0
Street Furniture,962.0,3750.0,3896.0,5708.0,6205.0,4553.0,5753.0,5870.0,5570.0,3830.0
Street Lights,11158.0,13226.0,13766.0,16400.0,16566.0,17804.0,20357.0,21869.0,24690.0,28663.0
Utility Works,140.0,267.0,301.0,381.0,325.0,247.0,279.0,187.0,188.0,171.0
