year,1,2,3,4,5,6,7,8,9,10
2007,718,749,761,808,845,849,887,953,1077,1270
2008,1688,1485,1619,1588,1777,1699,1759,1927,2048,2278
2009,2872,3337,3117,3176,3267,3526,3528,3973,4309,4503
2010,3549,4092,3844,4205,4737,4895,5241,5693,6511,7354
2011,4374,4753,4561,4675,4745,4971,5431,5864,6809,7452
2012,4559,5108,5153,5841,6105,6491,6973,8022,9358,9568
2013,5792,6787,7485,8349,8409,9491,10143,12177,14684,13946
2014,6922,9779,9512,10690,11688,11954,13269,16074,19638,18380
2015,8142,11435,12511,13862,15063,15255,16118,19295,21219,18329
2016,9660,14104,15682,17419,18354,19917,21584,22937,25091,21936
2017,11182,14691,16200,17369,18697,19475,22391,23818,26620,24050
2018,15539,18656,21594,24618,26348,28027,35390,38998,42224,41055
2019,21518,24445,30679,34692,32872,38128,46064,45785,52700,45436
2020,27212,31679,39012,43552,42314,47821,59341,60811,70974,60192
