status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,11778,7868,7239,6132,5867,6639,5725,6065,5377,3926
Reported Fixed,4384,3615,3394,2991,3107,3483,2936,3228,2836,2410
