method,1,2,3,4,5,6,7,8,9,10
Desktop,1622,2863,3790,4119,4490,4804,5450,5974,6689,7199
Mobile,40281,48608,50562,56818,47884,39786,38017,40445,37939,41758
Open311,323,814,1485,1336,1163,1945,1517,1923,1771,1678
Unclear,84303,118781,140600,161107,166470,166144,178948,190405,209462,219305
