cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,94.0,102.0,75.0,57.0,46.0,104.0,27.0,78.0,49.0,71.0
FixMyStreet.com,12641.0,10874.0,8001.0,8105.0,8657.0,8350.0,9794.0,8924.0,11072.0,11872.0
