method,1,2,3,4,5,6,7,8,9,10
Desktop,1517,2719,3653,4346,4383,5604,5809,6152,6362,6455
Mobile,39195,50721,50146,54722,48842,48004,40195,38714,37814,33745
Open311,446,814,1432,1676,1569,1490,1986,1535,1308,1699
Unclear,82660,120124,138241,163479,162388,182370,196948,191060,203840,194415
