status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,6019,5429,5039,6227,6120,6935,7910,7348,7280,8309
Reported Fixed,2135,2561,2333,2824,3192,3487,3902,3899,3793,4258
