status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,81029,99053,113096,131148,131254,145640,149184,147620,149497,143934
Reported Fixed,42789,75325,80376,93075,85928,91828,95754,89841,99827,92380
