status,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Not Reported Fixed,5643,12993,24486,32949,36206,43792,59759,83373,100752,115821,116603,170806,240523,351442
Reported Fixed,4295,9491,16545,24589,27497,32299,46267,54536,61132,84638,92185,141965,150202,152743
