method,1,2,3,4,5,6,7,8,9,10
Desktop,123.0,91.0,84.0,65.0,106.0,63.0,92.0,94.0,94.0,110.0
Mobile,2707.0,2157.0,1485.0,1550.0,1614.0,1691.0,2675.0,1630.0,2885.0,2641.0
Unclear,9905.0,8728.0,6507.0,6547.0,6983.0,6700.0,7054.0,7278.0,8142.0,9192.0
