repeat_use,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
First Report,6065,11286,20617,23581,22444,26536,34693,41390,45723,50768,50850,74539,89710,8488
Reported Before,3873,11198,20414,33957,41259,49555,71333,96519,116161,149691,157938,238230,300977,28518
