repeat_use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
First Report,5233,2372,1232,870,835,1300,3979,11054,23375,37081,38706,39248,37299,35949,35697,35036,35020,29861,27013,26059,25687,23375,19250,11159
Reported Before,14048,6466,3346,2222,1927,3803,12357,36394,71638,97073,100228,100366,94321,92477,93567,92467,88712,77092,70451,65980,62550,56178,46868,29092
