year,1,2,3,4,5,6,7,8,9,10
2007,23.0,28.0,17.0,28.0,21.0,28.0,27.0,15.0,24.0,31.0
2008,57.0,81.0,48.0,48.0,63.0,72.0,90.0,48.0,48.0,44.0
2009,159.0,134.0,101.0,117.0,160.0,133.0,119.0,115.0,112.0,103.0
2010,229.0,235.0,175.0,153.0,160.0,198.0,172.0,168.0,179.0,167.0
2011,229.0,254.0,136.0,164.0,233.0,223.0,206.0,183.0,202.0,188.0
2012,250.0,214.0,207.0,263.0,213.0,286.0,205.0,202.0,203.0,242.0
2013,276.0,214.0,196.0,171.0,175.0,281.0,237.0,186.0,164.0,191.0
2014,437.0,421.0,434.0,409.0,333.0,383.0,381.0,273.0,331.0,311.0
2015,493.0,438.0,365.0,412.0,365.0,447.0,357.0,267.0,298.0,274.0
2016,586.0,612.0,627.0,547.0,522.0,556.0,400.0,384.0,370.0,359.0
2017,797.0,646.0,555.0,599.0,548.0,592.0,397.0,404.0,392.0,412.0
2018,1052.0,1084.0,573.0,730.0,693.0,863.0,695.0,652.0,715.0,599.0
2019,1244.0,979.0,616.0,799.0,828.0,862.0,849.0,651.0,672.0,755.0
2020,1022.0,1127.0,606.0,879.0,1077.0,1096.0,982.0,871.0,800.0,872.0
