status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,2705,3563,3533,3480,3427,3131,3615,3235,3945,4508
Reported Fixed,1271,1650,1841,1716,1555,1538,1802,1787,2351,2629
