year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2007,113,46,32,15,16,9,40,147,384,690,750,795,799,752,676,696,694,629,514,476,531,477,399,258
2008,519,272,103,53,41,42,98,319,760,1315,1528,1504,1615,1594,1551,1462,1506,1376,1210,1218,1234,1251,1153,760
2009,660,336,185,102,93,105,208,636,1618,2480,2806,2885,2786,2898,2808,2646,2893,2564,2332,2214,2465,2077,2011,1223
2010,843,419,189,149,111,107,308,882,2506,3791,3960,4018,3920,3933,3880,3734,3953,3557,3322,3324,3457,2969,2457,1749
2011,922,429,260,167,108,173,365,1028,2724,3899,3999,4264,4373,4405,4336,4218,4249,3976,3797,3811,3866,3507,2941,1886
2012,994,457,249,140,120,174,440,1354,3130,4822,5054,5283,5117,5131,4975,4914,5316,5080,4762,4657,4548,4041,3257,2076
2013,1407,739,378,236,157,234,669,2044,4820,7568,7539,7715,7462,7083,7020,6909,7112,6446,6008,5972,5717,5481,4530,2780
2014,1899,788,367,222,192,351,1030,3141,6717,9274,9686,9159,9044,9186,8906,8806,9270,8627,8275,7570,7595,7415,6288,4101
2015,2035,850,328,247,267,433,1450,4301,8712,11868,11653,11689,10917,10677,10462,10652,10559,10291,9391,8616,8354,7551,6468,4113
2016,1966,855,514,317,344,572,1835,5645,10694,14342,14725,15363,14308,13697,13368,13832,14027,11825,11231,10538,10019,8726,7212,4504
2017,2009,961,502,316,294,651,2241,6017,11448,15682,15737,15640,15118,14582,14956,14969,14049,12323,10932,10526,9787,8566,7324,4158
2018,2613,1104,670,480,435,956,3243,9160,17329,23186,24786,25042,23233,23293,24005,23112,21263,17309,15643,14566,13457,12196,10014,5676
2019,2974,1416,751,587,531,1216,4154,11864,22223,32181,33517,32905,29957,28440,29412,28714,26349,20989,18230,16976,15732,14061,11087,6459
2020,4224,2015,1125,805,734,1467,4416,12836,26108,39336,42223,43135,40871,39054,39851,39134,34683,27715,23669,21343,19819,17440,14021,8161
